miRNA,Type,T1,T2,T3,C1,C2,C3
mmu-miR-34b-5p,Target,35,35,35,35,35,35
mmu-miR-34c,Target,25.4548,26.0055,25.9653,25.2045,23.962,25.5424
mmu-miR-34c#,Target,25.1209,25.2649,24.9469,23.3168,23.5503,24.6795
mmu-miR-350,Target,35,35,35,35,35,35
mmu-miR-351,Target,35,35,35,35,35,35
mmu-miR-361,Target,26.4167,26.5641,27.8672,27.6583,26.8662,26.9697
mmu-miR-362-3p,Target,34.9277,35,35,35,35,35
mmu-miR-362-5p,Target,35,35,35,35,35,35
mmu-miR-363,Target,31.0274,30.9949,31.7567,32.4618,30.713,31.5052
mmu-miR-363#,Target,31.778,30.4789,30.2076,33.0462,32.3331,30.3738
mmu-miR-365,Target,23.0317,23.0115,23.9642,24.0198,23.3525,23.7865
mmu-miR-367,Target,31.1803,30.5272,31.9456,31.9206,32.1865,33.0033
mmu-miR-369-3p,Target,28.0108,28.2162,29.977,28.4169,28.5236,30.3321
mmu-miR-369-5p,Target,24.1361,24.0532,24.5435,24.9405,24.1136,26.003
mmu-miR-370,Target,28.7484,28.8902,28.978,28.9855,28.8215,29.4296
mmu-miR-374#,Target,35,35,10.6961,10.216,35,35
mmu-miR-374-5p,Target,34.9629,35,35,35,35,35
mmu-miR-375,Target,23.6159,23.9687,23.9471,23.0817,22.5755,24.4364
mmu-miR-376a,Target,35,35,35,35,35,35
mmu-miR-376a#,Target,35,35,35,35,35,35
mmu-miR-376b,Target,28.5127,28.0061,35,28.6873,30.1147,35
mmu-miR-376b#,Target,35,35,35,35,35,35
mmu-miR-376c,Target,35,35,35,35,35,35
mmu-miR-376c#,Target,35,35,35,35,35,35
mmu-miR-377,Target,35,35,35,35,35,35
mmu-miR-378,Target,29.7667,29.7573,29.956,29.8663,29.6785,29.9788
mmu-miR-379,Target,21.5323,21.3989,21.9719,22.1968,21.7041,23.2929
mmu-miR-380-3p,Target,35,35,35,35,35,35
mmu-miR-380-5p,Target,35,35,35,35,35,35
mmu-miR-381,Target,30.7696,30.9382,32.9143,31.2834,30.843,32.524
mmu-miR-382,Target,18.6215,18.775,19.1907,19.2955,18.9556,20.2863
mmu-miR-383,Target,35,35,35,35,35,35
mmu-miR-384-3p,Target,35,35,35,35,35,35
